% Device,11E101660
% File name,11E101660_20110922_130712
% Cast time (UTC),2011-09-22 13:07:12
% Cast time (local),2011-09-22 10:07:12
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,-22.9287626
% Start longitude,-43.1438954
% Start altitude,-3.4000000953674316
% Start GPS horizontal error(Meter),2,90000009536743
% Start GPS vertical error(Meter),10,539999961853
% Start GPS number of satellites,9
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),242.6
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2011-06-02
% Temperature calibration date,2011-06-02
% Pressure calibration date,2011-06-01
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
8.85,8.8209434999872265,18.268268416232559,46530.953227298851,53770.297414816654,35.305467357422771,1517.0624551672552,1025.4793995417244
9.1499999999999986,9.1198206119096934,18.264515521772068,46537.4758558948,53782.499693629616,35.314140504006978,1517.0664129400409,1025.4882924197291
9.45,9.4186962324146659,18.26499257310536,46538.9131764302,53783.56773989139,35.314839268781427,1517.0735770991362,1025.4900248645322
9.75,9.7175711795379662,18.256410953559573,46530.081462601418,53784.029276673558,35.314607988338643,1517.0534423605266,1025.4933042303733
10.049999999999999,10.016443434788711,18.228503320326439,46513.160200102233,53799.179508293681,35.324158458530334,1516.988379037535,1025.5088885478858
10.35,10.315312779978564,18.210774364792819,46493.871056023847,53798.932950743438,35.322911303389311,1516.9405355064446,1025.5136653737816
10.649999999999999,10.614180162747005,18.201895220812926,46493.522168027441,53809.586281331409,35.330165225748011,1516.9279978541349,1025.5227468410396
10.95,10.913045110084049,18.197663307158553,46498.029674161073,53820.075108617733,35.337547927475889,1516.929087457866,1025.5307699852685
11.25,11.211909011515289,18.191028910423814,46486.199308163807,53814.646792247091,35.333079029768705,1516.9097503634764,1025.5303155429076
11.549999999999999,11.510772492570956,18.190142498388294,46488.793932935863,53818.754979415338,35.335943002903534,1516.9154178048441,1025.534045828148
11.85,11.809634959225383,18.186330502654272,46487.144164681245,53821.595425691594,35.337715390711182,1516.9113544346544,1025.5376681372484
12.149999999999999,12.1084955817036,18.164726720921067,46469.580200327706,53828.1876551356,35.341287436621641,1516.857672685795,1025.5470932550356
12.45,12.407354574242195,18.142280734109143,46439.71924844406,53821.585760216774,35.335094001783737,1516.7904188719697,1025.5492453206293
12.75,12.706214196080062,18.09158698902942,46357.984915337591,53790.064551509509,35.309007801374619,1516.6183521553455,1025.5431651934518
13.049999999999999,13.005065288496803,17.972265603612151,46289.521526271463,53859.763822157511,35.353612629750053,1516.3262611988348,1025.6081779067515
13.35,13.303899789222921,17.881124923447075,46236.164368584446,53912.02358978094,35.386848682601176,1516.102709297192,1025.657437978336
13.649999999999999,13.60272210847327,17.831445406398785,46218.221353561486,53953.609217512814,35.4145237290797,1515.9937589277777,1025.692188038656
13.95,13.901533829670855,17.766294318611656,46184.346760730565,53996.198988687443,35.442023996758266,1515.8390572516933,1025.7305849966288
14.249999999999998,14.200338434059312,17.7457664462894,46170.507080073628,54005.941311272843,35.44789512290226,1515.7904844444972,1025.74143833565
14.549999999999999,14.499140420797348,17.737301583349158,46168.301720756324,54014.057989501045,35.453264880383159,1515.7767361110018,1025.7489478093034
14.85,14.797940473258704,17.722294755828454,46154.999166953232,54017.462581005748,35.454785711202341,1515.7393817181455,1025.7551095610052
15.149999999999999,15.096739135312385,17.717724490859379,46152.528669592954,54020.350123598633,35.456530630582058,1515.7329304528214,1025.7588850609523
15.45,15.395537301007972,17.71514834218496,46147.136781340239,54017.2966410676,35.454018149342822,1515.727484439841,1025.7589084279946
15.749999999999998,15.694335060083231,17.716060864866009,46151.320888071721,54021.040275779756,35.456711611945629,1515.7382210689225,1025.7620678187743
16.05,15.993132098578622,17.70596156639796,46138.783112086909,54019.136228031886,35.454607582696347,1515.7111335602456,1025.764246819713
16.35,16.291927341323422,17.6966336625108,46139.971361832322,54032.329254033088,35.463660004211867,1515.6990219855136,1025.7747884398605
